product_code_digits,concept_name,concept_token,brand_name,packager,is_repackaged,source_ndc_prefix,notes
0006057501,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057502,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057503,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057552,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057556,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057561,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057562,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057582,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060575,sitagliptin + metformin
0006057701,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057702,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057703,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057752,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057756,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057761,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057762,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006057782,sitagliptin-containing,drug_sitagliptin_family,JANUMET,Merck Sharp & Dohme LLC,false,00060577,sitagliptin + metformin
0006007814,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060078,sitagliptin + metformin XR
0006007828,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060078,sitagliptin + metformin XR
